Période,Valeur,Statut,Qualité
2025-11,288.7,A,DEF
2025-10,279.7,A,DEF
2025-09,238.6,A,DEF
2025-08,214.9,A,DEF
2025-07,212.3,A,DEF
2025-06,205.4,A,DEF
2025-05,191.0,A,DEF
2025-04,189.3,A,DEF
2025-03,202.0,A,DEF
2025-02,203.4,A,DEF
2025-01,193.0,A,DEF
2024-12,191.2,A,DEF
2024-11,192.7,A,DEF
2024-10,195.7,A,DEF
2024-09,177.7,A,DEF
2024-08,170.7,A,DEF
2024-07,180.5,A,DEF
2024-06,180.9,A,DEF
2024-05,179.1,A,DEF
2024-04,169.2,A,DEF
2024-03,147.9,A,DEF
2024-02,138.3,A,DEF
2024-01,138.5,A,DEF
2023-12,144.7,A,DEF
2023-11,142.4,A,DEF
2023-10,139.0,A,DEF
2023-09,143.1,A,DEF
2023-08,141.6,A,DEF
2023-07,143.0,A,DEF
2023-06,142.1,A,DEF
2023-05,146.3,A,DEF
2023-04,150.0,A,DEF
2023-03,134.7,A,DEF
2023-02,135.1,A,DEF
2023-01,145.1,A,DEF
2022-12,144.6,A,DEF
2022-11,135.6,A,DEF
2022-10,129.7,A,DEF
2022-09,125.3,A,DEF
2022-08,128.0,A,DEF
2022-07,123.3,A,DEF
2022-06,134.0,A,DEF
2022-05,136.5,A,DEF
2022-04,149.2,A,DEF
2022-03,150.7,A,DEF
2022-02,136.2,A,DEF
2022-01,134.5,A,DEF
2021-12,131.1,A,DEF
2021-11,139.5,A,DEF
2021-10,132.1,A,DEF
2021-09,130.3,A,DEF
2021-08,134.2,A,DEF
2021-07,143.3,A,DEF
2021-06,147.3,A,DEF
2021-05,148.5,A,DEF
2021-04,140.8,A,DEF
2021-03,141.6,A,DEF
2021-02,148.8,A,DEF
2021-01,140.0,A,DEF
2020-12,134.8,A,DEF
2020-11,133.6,A,DEF
2020-10,135.5,A,DEF
2020-09,144.4,A,DEF
2020-08,149.8,A,DEF
2020-07,116.9,A,DEF
2020-06,103.6,A,DEF
2020-05,98.1,A,DEF
2020-04,91.1,A,DEF
2020-03,88.6,A,DEF
2020-02,108.2,A,DEF
2020-01,106.5,A,DEF
2019-12,101.3,A,DEF
2019-11,102.3,A,DEF
2019-10,104.9,A,DEF
2019-09,108.6,A,DEF
2019-08,101.4,A,DEF
2019-07,92.4,A,DEF
2019-06,87.4,A,DEF
2019-05,86.0,A,DEF
2019-04,88.1,A,DEF
2019-03,89.2,A,DEF
2019-02,91.6,A,DEF
2019-01,89.9,A,DEF
2018-12,84.9,A,DEF
2018-11,83.2,A,DEF
2018-10,83.6,A,DEF
2018-09,80.5,A,DEF
2018-08,85.5,A,DEF
2018-07,88.5,A,DEF
2018-06,93.1,A,DEF
2018-05,91.7,A,DEF
2018-04,89.0,A,DEF
2018-03,87.8,A,DEF
2018-02,88.8,A,DEF
2018-01,92.6,A,DEF
2017-12,89.8,A,DEF
2017-11,95.3,A,DEF
2017-10,94.8,A,DEF
2017-09,96.4,A,DEF
2017-08,94.3,A,DEF
2017-07,92.3,A,DEF
2017-06,99.3,A,DEF
2017-05,99.8,A,DEF
2017-04,110.8,A,DEF
2017-03,108.3,A,DEF
2017-02,110.5,A,DEF
2017-01,104.1,A,DEF
2016-12,102.2,A,DEF
2016-11,106.1,A,DEF
2016-10,105.8,A,DEF
2016-09,113.2,A,DEF
2016-08,115.3,A,DEF
2016-07,118.5,A,DEF
2016-06,100.7,A,DEF
2016-05,98.2,A,DEF
2016-04,94.4,A,DEF
2016-03,91.4,A,DEF
2016-02,89.4,A,DEF
2016-01,84.9,A,DEF
2015-12,85.1,A,DEF
2015-11,88.9,A,DEF
2015-10,92.0,A,DEF
2015-09,86.3,A,DEF
2015-08,88.3,A,DEF
2015-07,90.2,A,DEF
2015-06,94.5,A,DEF
2015-05,99.3,A,DEF
2015-04,99.6,A,DEF
2015-03,98.5,A,DEF
2015-02,97.6,A,DEF
2015-01,96.3,A,DEF
2014-12,86.5,A,DEF
2014-11,84.3,A,DEF
2014-10,89.2,A,DEF
2014-09,94.3,A,DEF
2014-08,97.8,A,DEF
2014-07,101.7,A,DEF
2014-06,95.8,A,DEF
2014-05,92.7,A,DEF
2014-04,93.8,A,DEF
2014-03,98.7,A,DEF
2014-02,100.3,A,DEF
2014-01,96.1,A,DEF
2013-12,94.1,A,DEF
2013-11,101.2,A,DEF
2013-10,105.8,A,DEF
2013-09,111.2,A,DEF
2013-08,108.2,A,DEF
2013-07,99.1,A,DEF
2013-06,105.3,A,DEF
2013-05,116.7,A,DEF
2013-04,128.2,A,DEF
2013-03,146.2,A,DEF
2013-02,149.4,A,DEF
2013-01,153.8,A,DEF
2012-12,159.3,A,DEF
2012-11,168.1,A,DEF
2012-10,168.3,A,DEF
2012-09,172.0,A,DEF
2012-08,152.7,A,DEF
2012-07,146.9,A,DEF
2012-06,147.0,A,DEF
2012-05,147.5,A,DEF
2012-04,157.7,A,DEF
2012-03,164.2,A,DEF
2012-02,169.9,A,DEF
2012-01,156.3,A,DEF
2011-12,151.3,A,DEF
2011-11,160.6,A,DEF
2011-10,153.5,A,DEF
2011-09,182.3,A,DEF
2011-08,185.0,A,DEF
2011-07,174.9,A,DEF
2011-06,163.7,A,DEF
2011-05,171.2,A,DEF
2011-04,194.3,A,DEF
2011-03,168.3,A,DEF
2011-02,148.4,A,DEF
2011-01,140.4,A,DEF
2010-12,145.9,A,DEF
2010-11,127.8,A,DEF
2010-10,110.7,A,DEF
2010-09,103.5,A,DEF
2010-08,93.8,A,DEF
2010-07,92.5,A,DEF
2010-06,99.5,A,DEF
2010-05,96.5,A,DEF
2010-04,88.6,A,DEF
2010-03,82.9,A,DEF
2010-02,76.3,A,DEF
2010-01,81.8,A,DEF
2009-12,79.5,A,DEF
2009-11,78.6,A,DEF
2009-10,76.5,A,DEF
2009-09,74.1,A,DEF
2009-08,66.2,A,DEF
2009-07,62.4,A,DEF
2009-06,68.8,A,DEF
2009-05,67.4,A,DEF
2009-04,62.3,A,DEF
2009-03,66.1,A,DEF
2009-02,69.0,A,DEF
2009-01,55.9,A,DEF
2008-12,50.1,A,DEF
2008-11,51.0,A,DEF
2008-10,51.6,A,DEF
2008-09,56.7,A,DEF
2008-08,64.3,A,DEF
2008-07,75.2,A,DEF
2008-06,71.8,A,DEF
2008-05,72.2,A,DEF
2008-04,73.1,A,DEF
2008-03,81.9,A,DEF
2008-02,78.4,A,DEF
2008-01,71.1,A,DEF
2007-12,64.7,A,DEF
2007-11,65.9,A,DEF
2007-10,63.2,A,DEF
