Titre :;France, Indice des prix
Code série :;ICP.M.FR.N.000000.4.INX
Unité :;Nombre pur (PURE_NUMB)
Magnitude :;Unités (0)
Méthode d'observation :;Moyenne de la période (A)
Source :;Eurostat (4D0)
2025-11-30;124,33
2025-10-31;124,58
2025-09-30;124,47
2025-08-31;125,8
2025-07-31;125,2
2025-06-30;124,85
2025-05-31;124,32
2025-04-30;124,55
2025-03-31;123,73
2025-02-28;123,49
2025-01-31;123,42
2024-12-31;123,62
2024-11-30;123,36
2024-10-31;123,54
2024-09-30;123,15
2024-08-31;124,77
2024-07-31;124,03
2024-06-30;123,78
2024-05-31;123,59
2024-04-30;123,41
2024-03-31;122,65
2024-02-29;122,35
2024-01-31;121,2
2023-12-31;121,49
2023-11-30;121,32
2023-10-31;121,61
2023-09-30;121,4
2023-08-31;122,1
2023-07-31;120,77
2023-06-30;120,71
2023-05-31;120,46
2023-04-30;120,55
2023-03-31;119,76
2023-02-28;118,55
2023-01-31;117,22
2022-12-31;116,7
2022-11-30;116,81
2022-10-31;116,32
2022-09-30;114,9
2022-08-31;115,49
2022-07-31;114,94
2022-06-30;114,6
2022-05-31;113,63
2022-04-30;112,78
2022-03-31;112,26
2022-02-28;110,49
2022-01-31;109,51
2021-12-31;109,34
2021-11-30;109,09
2021-10-31;108,64
2021-09-30;108,16
2021-08-31;108,38
2021-07-31;107,64
2021-06-30;107,57
2021-05-31;107,38
2021-04-30;107,02
2021-03-31;106,8
2021-02-28;106,07
2021-01-31;106,03
2020-12-31;105,75
2020-11-30;105,5
2020-10-31;105,27
2020-09-30;105,3
2020-08-31;105,89
2020-07-31;106,01
2020-06-30;105,58
2020-05-31;105,49
2020-04-30;105,32
2020-03-31;105,34
2020-02-29;105,27
2020-01-31;105,24
2019-12-31;105,78
2019-11-30;105,27
2019-10-31;105,2
2019-09-30;105,28
2019-08-31;105,67
2019-07-31;105,11
2019-06-30;105,35
2019-05-31;105,06
2019-04-30;104,93
2019-03-31;104,55
2019-02-28;103,64
2019-01-31;103,52
2018-12-31;104,1
2018-11-30;104,0
2018-10-31;104,24
2018-09-30;104,12
2018-08-31;104,35
2018-07-31;103,8
2018-06-30;103,93
2018-05-31;103,92
2018-04-30;103,43
2018-03-31;103,22
2018-02-28;102,05
2018-01-31;102,06
2017-12-31;102,16
2017-11-30;101,8
2017-10-31;101,7
2017-09-30;101,58
2017-08-31;101,74
2017-07-31;101,17
2017-06-30;101,58
2017-05-31;101,59
2017-04-30;101,57
2017-03-31;101,47
2017-02-28;100,73
2017-01-31;100,57
2016-12-31;100,9
2016-11-30;100,55
2016-10-31;100,54
2016-09-30;100,5
2016-08-31;100,74
2016-07-31;100,39
2016-06-30;100,8
2016-05-31;100,65
2016-04-30;100,18
2016-03-31;100,09
2016-02-29;99,31
2016-01-31;99,02
2015-12-31;100,09
2015-11-30;99,86
2015-10-31;100,07
2015-09-30;99,99
2015-08-31;100,36
2015-07-31;100,0
2015-06-30;100,49
2015-05-31;100,56
2015-04-30;100,3
2015-03-31;100,17
2015-02-28;99,42
2015-01-31;98,7
2014-12-31;99,82
2014-11-30;99,75
2014-10-31;99,92
